cpt,desc,status,work_rvu,pe_nonfac_rvu,pe_fac_rvu,mp_rvu
22861,Rev rplcm arthrp 1ntrspc crv,A,32.53,21.07,21.07,13.73
22862,Rev rplcm rthrp 1ntrspc lmbr,R,31.81,22.64,22.64,13.45
22864,Rmvl tot arthrp 1ntrspc crv,A,28.67,19.72,19.72,12.12
22865,Rmvl tot arthrp 1ntrspc lmbr,R,30.96,22.35,22.35,13.08
22867,Insj stablj dev w/dcmprn,A,14.63,11.34,11.34,4.33
22868,Insj stablj dev w/dcmprn,A,3.9,1.31,1.31,1.22
22869,Insj stablj dev w/o dcmprn,A,6.85,4.32,4.32,0.66
22870,Insj stablj dev w/o dcmprn,A,2.28,0.53,0.53,0.21
22899,Unlisted procedure spine,C,0.0,0.0,0.0,0.0
22900,Exc abdl tum deep < 5 cm,A,8.11,6.3,6.3,1.98
22901,Exc abdl tum deep 5 cm/>,A,9.86,6.88,6.88,2.47
22902,Exc abd les sc < 3 cm,A,4.31,10.11,4.54,1.07
22903,Exc abd les sc 3 cm/>,A,6.23,5.05,5.05,1.56
22904,Radical resect abd tumor<5cm,A,16.27,9.45,9.45,3.78
22905,Rad resect abd tumor 5 cm/>,A,21.04,11.18,11.18,4.83
22999,Unlisted px abdomen muscskel,C,0.0,0.0,0.0,0.0
23000,Rmvl sbdltd clcreous dep opn,A,4.37,12.04,4.99,0.7
23020,Capsular contracture release,A,9.13,8.44,8.44,1.91
23030,I&d shoulder deep absc/hmtma,A,3.38,10.11,3.22,0.7
23031,I&d shoulder infected bursa,A,2.72,10.63,3.17,0.57
23035,Incision bone cortex sho,A,8.93,8.23,8.23,1.84
23040,Arthrt gh jt expl/drg/rmv fb,A,9.51,8.68,8.68,1.96
23044,Arthrt ac sc jt exp/rmvl fb,A,7.4,7.22,7.22,1.64
23065,Biopsy shoulder tissues,A,2.24,4.34,1.8,0.35
23066,Biopsy shoulder tissues,A,4.19,13.62,5.86,0.92
23071,Exc shoulder les sc 3 cm/>,A,5.76,5.06,5.06,1.37
23073,Exc shoulder tum deep 5 cm/>,A,9.88,7.57,7.57,2.27
23075,Exc shoulder les sc < 3 cm,A,4.1,11.59,4.6,0.92
23076,Exc shoulder tum deep < 5 cm,A,7.22,6.82,6.82,1.63
23077,Rad rescj tum shoulder<5 cm,A,17.22,10.33,10.33,3.93
23078,Rad rescj tum shoulder 5cm/>,A,21.99,12.68,12.68,5.02
23100,Arthrotomy glenhumrl jt w/bx,A,6.05,7.37,7.37,1.29
23101,Arthrt acrmclv/strnclav jt,A,5.58,6.5,6.5,1.2
23105,Arthrotomy glenohumeral jt,A,8.27,8.13,8.13,1.72
23106,Arthrotomy strnclav joint,A,5.98,7.35,7.35,1.28
23107,Arthrt glenhumrl jt w/expl,A,8.65,8.3,8.3,1.8
23120,Claviculectomy partial,A,7.21,8.22,8.22,1.48
23125,Claviculectomy total,A,9.4,8.63,8.63,2.0
23130,Acromp/acromionectomy prtl,A,7.58,8.52,8.52,1.59
23140,Removal of bone lesion,A,6.94,7.5,7.5,1.47
